kurs_resmi,kurs_baslik,kurs_aciklama,udemy_link,site_link
https://img-c.udemycdn.com/course/100x100/1258436_2dc3_4.jpg,Komple Uygulamalı Web Geliştirme Eğitimi,"Sıfırdan ileri seviyeye 'Web Geliştirme': Html, Css, Sass, Flexbox, Bootstrap, Javascript, Angular, JQuery, Asp.Net Mvc&Core Mvc",https://www.udemy.com/course/komple-web-developer-kursu/?couponCode=DEAL77,http://sadikturan.com/komple-web-gelistirme-kursu
https://img-c.udemycdn.com/course/100x100/2463492_8344_3.jpg,Python ile Sıfırdan İleri Seviye Python Programlama,"Sıfırdan İleri Seviye Python Dersleri.Veritabanı,Veri Analizi,Bot Yazımı,Web Geliştirme(Django)",https://www.udemy.com/course/python-dersleri/?couponCode=DEAL77,http://sadikturan.com/python-dersleri
https://img-c.udemycdn.com/course/240x135/4301499_60fc.jpg,Python Django ile Sıfırdan İleri Seviye Web Geliştirme,Python django ile sıfırdan ileri seviye dinamik web uygulaması geliştirmeyi öğren.,https://www.udemy.com/course/python-django-dersleri/?couponCode=DEAL77,http://sadikturan.com/python-django-dersleri
https://img-c.udemycdn.com/course/100x100/1662526_fc1c_3.jpg,Sıfırdan İleri Seviye Modern Javascript Dersleri ES7+,"Modern javascript dersleri ile (ES6 & ES7+) Nodejs, Angular, React ve VueJs için sağlam bir temel oluşturun.",https://www.udemy.com/course/modern-javascript-kursu/?couponCode=DEAL77,http://sadikturan.com/javascript-dersleri
https://img-c.udemycdn.com/course/100x100/3366564_2236_5.jpg,"Sıfırdan Uygulamalı React Geliştirme: Hooks, Redux & Firebase","En popüler frontend kütüphanesi React'i baştan sona uygulamalı projelerle öğren. Hooks, Redux, Webpack, Firebase ve Fazlası.",https://www.udemy.com/course/react-dersleri/?couponCode=DEAL77,http://sadikturan.com/react-dersleri
https://img-c.udemycdn.com/course/100x100/2363350_4d3d_5.jpg,Angular 12 ile Sıfırdan İleri Seviye Web Geliştirme,En popüler front-end framework'ü Angular 'ı sıfırdan en ileri seviye kadar öğrenin.,https://www.udemy.com/course/angular-dersleri/?couponCode=DEAL77,http://sadikturan.com/angular-dersleri
https://img-c.udemycdn.com/course/100x100/3952174_5d3a.jpg,Php ile Sıfırdan İleri Seviye Web Programlama Kursu,Sıfırdan php dersleri ile dinamik php uygulamaları geliştirebilirsin.,https://www.udemy.com/course/php-dersleri/?couponCode=DEAL77,http://sadikturan.com/php-dersleri
https://img-c.udemycdn.com/course/100x100/1440660_b7a4_3.jpg,Asp.Net Core Mvc ile Sıfırdan İleri Seviye Web Programlama,Asp.net core dersleri ile sıfırdan ileri seviyeye uygulamalı projelerle dinamik web uygulamaları geliştirebilirsiniz.,https://www.udemy.com/course/asp-net-core-dersleri/?couponCode=DEAL77,http://sadikturan.com/asp-net-core-dersleri
https://img-c.udemycdn.com/course/100x100/2349954_d803_2.jpg,E-Ticaret Kursu: Katmanlı Mimari ile Core Mvc Dersleri,Baştan Sona Core Mvc Dersleri ile Kendi E-Ticaret Siteni Mimari Bakış Açısıyla Hazırla.,https://www.udemy.com/course/aspnet-core-mvc-kursu/?couponCode=DEAL77,http://sadikturan.com/katmanli-mimari-eticaret-kursu-asp-net-core-mvc
https://img-c.udemycdn.com/course/100x100/3118920_55f8_3.jpg,.Net Core Web Api & Angular ile Proje Geliştirme Kursu,Sıfırdan asp.net core web api ve angular 9 kullanarak baştan sona proje geliştiyoruz.,https://www.udemy.com/course/aspnet-core-web-api-angular-dersleri/?couponCode=DEAL77,http://sadikturan.com/aspnet-core-web-api-angular-dersleri
https://img-c.udemycdn.com/course/100x100/2907528_f51f_2.jpg,Sıfırdan Uygulamalı SQL Veri Tabanı Dersleri: MySQL & MsSQL,En temelden başlayarak sql veri tabanı tasarımını profesyonel düzeyde öğrenerek etkin sql sorguları yazabilirsin.,https://www.udemy.com/course/sql-dersleri/?couponCode=DEAL77,http://sadikturan.com/sql-dersleri
https://img-c.udemycdn.com/course/100x100/2624596_8d26.jpg,Mobil Uygulama Kursu: Xamarin ile Android ve IOS Geliştirme,C# programlama yeteneğini Xamarin ile birleştirerek Cross Platform Native Android ve IOS uygulaması geliştirebilirsin.,https://www.udemy.com/course/xamarin-dersleri/?couponCode=DEAL77,http://sadikturan.com/xamarin-dersleri
https://img-c.udemycdn.com/course/100x100/3080074_fc14_2.jpg,Bootstrap 5 ile Premium Web Tasarım Proje Geliştirme Kursu,Bootstrap 5 kütüphanesini baştan sona öğrenerek kısa zamanda premium web tasarımlarını kolaylıkla yapabilirsin.,https://www.udemy.com/course/bootstrap-dersleri/?couponCode=DEAL77,http://sadikturan.com/bootstrap-dersleri
https://img-c.udemycdn.com/course/100x100/1397898_cbbb_3.jpg,C# Kursu: Yeni Başlayanlar için C# Programlama Dersleri,Sıfırdan programlama mantığı dahil bilmeniz gereken en temel C# programlama derslerini kısa zamanda öğrenin!,https://www.udemy.com/course/komple-uygulamali-programlama-egitimi-yeni-baslayanlar/?couponCode=DEAL77,http://sadikturan.com/csharp-dersleri
https://img-c.udemycdn.com/course/100x100/1944162_74f2_2.jpg,Nodejs Dersleri: Baştan Sona FullStack Web Geliştirme,"Sıfırdan ileri seviyeye 'Web Geliştirme': Front-end (HTML, CSS, Javascript,Bootstrap) & Back-end (NodeJs)",https://www.udemy.com/course/komple-web-gelistirme-kursu-nodejs/?couponCode=DEAL77,http://sadikturan.com/nodejs-dersleri
